Date/Time,frame_number,frame_len,radiotap_datarate,radiotap_dbm_antsignal1,radiotap_dbm_antsignal2,radiotap_dbm_antsignal3,radiotap.dbm_antsignal_avg,wlan_radio_data_rate,wlan_radio_signal_dbm,wlan_radio_duration
 2021-05-22 19:36:26 CET,251,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,252,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,253,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,254,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,255,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,256,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,257,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,258,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,259,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,260,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,261,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,264,76,24,-75,-75,-76,-75,24,-76,28
 2021-05-22 19:36:26 CET,265,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,266,76,6,-73,-73,-75,-74,6,-75,52
 2021-05-22 19:36:26 CET,269,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,270,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,271,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,272,410,1,-8,-8,-15,-10,1,-15,3024
 2021-05-22 19:36:26 CET,273,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,274,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,275,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,276,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,277,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,278,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,279,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,280,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,281,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,282,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,283,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,284,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,287,76,6,-73,-73,-74,-73,6,-74,52
 2021-05-22 19:36:26 CET,290,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,291,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,292,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,293,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,294,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,295,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,296,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,297,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,298,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,299,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,300,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,301,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,302,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,303,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,306,70,24,-76,-76,-76,-76,24,-76,28
 2021-05-22 19:36:26 CET,307,88,24,-76,-76,-77,-76,24,-77,32
 2021-05-22 19:36:26 CET,308,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,311,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,312,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,313,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,314,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,315,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,316,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,317,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,318,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,319,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,320,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,321,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,322,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,323,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,324,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,325,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,326,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,329,70,24,-75,-75,-76,-75,24,-76,28
 2021-05-22 19:36:26 CET,330,76,6,-73,-73,-75,-74,6,-75,52
 2021-05-22 19:36:26 CET,331,76,24,-81,-81,-82,-81,24,-82,28
 2021-05-22 19:36:26 CET,332,70,24,-76,-76,-76,-76,24,-76,28
 2021-05-22 19:36:26 CET,335,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,336,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,337,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,338,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,339,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,340,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,341,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,342,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,343,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,344,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,345,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,346,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,347,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,348,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,349,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:27 CET,352,410,1,-8,-8,-15,-10,1,-15,3024
 2021-05-22 19:36:27 CET,355,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,356,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,357,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,358,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:27 CET,359,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,360,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,361,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:27 CET,362,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:27 CET,363,70,1,-9,-9,-18,-12,1,-18,304
 2021-05-22 19:36:27 CET,364,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:27 CET,365,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:27 CET,366,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,367,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:27 CET,368,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,369,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:27 CET,374,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,375,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,376,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,377,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,378,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:27 CET,379,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:27 CET,380,70,1,-9,-9,-18,-12,1,-18,304
 2021-05-22 19:36:27 CET,381,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:27 CET,382,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:27 CET,383,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:27 CET,384,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:27 CET,385,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:27 CET,386,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:27 CET,387,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:27 CET,392,70,1,-10,-10,-17,-12,1,-17,304
